content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,tokens,clean_tokens,stemmed_tokens,final_text
payah banget pelayanannya petugas tidak ngasih tahu kalau naiknya tidak lewat halte mana bus nya jarang banget pengalaman naik dari madukismo a turun ngabean mo naik a ke gedongkuning ternyata bus tidak brenti di halte tapi sebelum halte padahal udah nanya ke petugasnya alhasil mlongo di halte pas bus hanya lewat doang,1,8,2.2.1,2024-07-24 01:05:23,,,"['payah', 'banget', 'pelayanannya', 'petugas', 'tidak', 'ngasih', 'tahu', 'kalau', 'naiknya', 'tidak', 'lewat', 'halte', 'mana', 'bus', 'nya', 'jarang', 'banget', 'pengalaman', 'naik', 'dari', 'madukismo', 'a', 'turun', 'ngabean', 'mo', 'naik', 'a', 'ke', 'gedongkuning', 'ternyata', 'bus', 'tidak', 'brenti', 'di', 'halte', 'tapi', 'sebelum', 'halte', 'padahal', 'udah', 'nanya', 'ke', 'petugasnya', 'alhasil', 'mlongo', 'di', 'halte', 'pas', 'bus', 'hanya', 'lewat', 'doang']","['payah', 'banget', 'pelayanannya', 'petugas', 'ngasih', 'naiknya', 'halte', 'jarang', 'banget', 'pengalaman', 'madukismo', 'a', 'turun', 'ngabean', 'mo', 'a', 'gedongkuning', 'brenti', 'halte', 'halte', 'nanya', 'petugasnya', 'alhasil', 'mlongo', 'halte', 'pas', 'doang']","['payah', 'banget', 'layan', 'tugas', 'ngasih', 'naik', 'halte', 'jarang', 'banget', 'alam', 'madukismo', 'a', 'turun', 'ngabean', 'mo', 'a', 'gedongkuning', 'brenti', 'halte', 'halte', 'nanya', 'tugas', 'alhasil', 'mlongo', 'halte', 'pas', 'doang']",payah banget layan tugas ngasih naik halte jarang banget alam madukismo a turun ngabean mo a gedongkuning brenti halte halte nanya tugas alhasil mlongo halte pas doang
petugas halte bandara tidak ramah,1,0,2.2.1,2024-07-22 23:16:17,,,"['petugas', 'halte', 'bandara', 'tidak', 'ramah']","['petugas', 'halte', 'bandara', 'ramah']","['tugas', 'halte', 'bandara', 'ramah']",tugas halte bandara ramah
untuk rute bus ny tidak lengkap contoh ny rute a a tidak ada di dalam rute aplikasi,1,1,,2024-07-19 03:40:13,,,"['untuk', 'rute', 'bus', 'ny', 'tidak', 'lengkap', 'contoh', 'ny', 'rute', 'a', 'a', 'tidak', 'ada', 'di', 'dalam', 'rute', 'aplikasi']","['rute', 'ny', 'lengkap', 'contoh', 'ny', 'rute', 'a', 'a', 'rute', 'aplikasi']","['rute', 'ny', 'lengkap', 'contoh', 'ny', 'rute', 'a', 'a', 'rute', 'aplikasi']",rute ny lengkap contoh ny rute a a rute aplikasi
aplikasi error tidak bisa marker bus aplikasi sudah terupdate tapi tetap tidak bisa,1,3,2.2.1,2024-07-16 07:22:22,,,"['aplikasi', 'error', 'tidak', 'bisa', 'marker', 'bus', 'aplikasi', 'sudah', 'terupdate', 'tapi', 'tetap', 'tidak', 'bisa']","['aplikasi', 'error', 'marker', 'aplikasi', 'terupdate']","['aplikasi', 'error', 'marker', 'aplikasi', 'terupdate']",aplikasi error marker aplikasi terupdate
sempat error dikit,5,0,,2024-07-16 06:28:47,,,"['sempat', 'error', 'dikit']","['error', 'dikit']","['error', 'dikit']",error dikit
tolong update rute transjogja transjogja tadi lihat ada bus a tapi tidak ada di aplikasi informasinya ada juga yang bus k k tapi tidak ada informasi rute bus,5,1,,2024-07-11 12:27:21,,,"['tolong', 'update', 'rute', 'transjogja', 'transjogja', 'tadi', 'lihat', 'ada', 'bus', 'a', 'tapi', 'tidak', 'ada', 'di', 'aplikasi', 'informasinya', 'ada', 'juga', 'yang', 'bus', 'k', 'k', 'tapi', 'tidak', 'ada', 'informasi', 'rute', 'bus']","['tolong', 'update', 'rute', 'lihat', 'a', 'aplikasi', 'informasinya', 'k', 'k', 'informasi', 'rute']","['tolong', 'update', 'rute', 'lihat', 'a', 'aplikasi', 'informasi', 'k', 'k', 'informasi', 'rute']",tolong update rute lihat a aplikasi informasi k k informasi rute
sudah bagus masukan saya apa bisa diberi notifikasi suara kedatangan bus sekitar km menuju halte terdekat saya agar bisa mengambil ancang utk saya yg didaerah yg armadanya sedikit kadang kaget bus tiba sudah berangkat setelah istirahat menunggu waktu agak lama terimakasih transjogja,4,4,2.2.1,2024-07-10 07:46:05,,,"['sudah', 'bagus', 'masukan', 'saya', 'apa', 'bisa', 'diberi', 'notifikasi', 'suara', 'kedatangan', 'bus', 'sekitar', 'km', 'menuju', 'halte', 'terdekat', 'saya', 'agar', 'bisa', 'mengambil', 'ancang', 'utk', 'saya', 'yg', 'didaerah', 'yg', 'armadanya', 'sedikit', 'kadang', 'kaget', 'bus', 'tiba', 'sudah', 'berangkat', 'setelah', 'istirahat', 'menunggu', 'waktu', 'agak', 'lama', 'terimakasih', 'transjogja']","['bagus', 'masukan', 'notifikasi', 'suara', 'kedatangan', 'km', 'halte', 'terdekat', 'mengambil', 'ancang', 'utk', 'didaerah', 'armadanya', 'kadang', 'kaget', 'berangkat', 'istirahat', 'menunggu', 'terimakasih']","['bagus', 'masuk', 'notifikasi', 'suara', 'datang', 'km', 'halte', 'dekat', 'ambil', 'ancang', 'utk', 'daerah', 'armada', 'kadang', 'kaget', 'berangkat', 'istirahat', 'tunggu', 'terimakasih']",bagus masuk notifikasi suara datang km halte dekat ambil ancang utk daerah armada kadang kaget berangkat istirahat tunggu terimakasih
kadang nge bug posisi semua bus stuck tidak gerak ditunggu sampe menit pun,1,1,,2024-07-09 10:13:55,,,"['kadang', 'nge', 'bug', 'posisi', 'semua', 'bus', 'stuck', 'tidak', 'gerak', 'ditunggu', 'sampe', 'menit', 'pun']","['kadang', 'nge', 'bug', 'posisi', 'stuck', 'gerak', 'ditunggu', 'menit']","['kadang', 'nge', 'bug', 'posisi', 'stuck', 'gerak', 'tunggu', 'menit']",kadang nge bug posisi stuck gerak tunggu menit
jalur sdikit jdi bintang,1,0,2.2.1,2024-06-24 08:36:53,,,"['jalur', 'sdikit', 'jdi', 'bintang']","['jalur', 'sdikit', 'jdi', 'bintang']","['jalur', 'sdikit', 'jdi', 'bintang']",jalur sdikit jdi bintang
aplikasi pagi ngelag pdhl dibutuhin bgt,1,0,2.2.1,2024-06-20 23:01:37,,,"['aplikasi', 'pagi', 'ngelag', 'pdhl', 'dibutuhin', 'bgt']","['aplikasi', 'pagi', 'ngelag', 'pdhl', 'dibutuhin']","['aplikasi', 'pagi', 'ngelag', 'pdhl', 'dibutuhin']",aplikasi pagi ngelag pdhl dibutuhin
sangat menbantu banget terimakasih sama kasih info a kapan akan tiba di halte terimkasih banyak,5,0,2.2.1,2024-06-15 08:26:38,,,"['sangat', 'menbantu', 'banget', 'terimakasih', 'sama', 'kasih', 'info', 'a', 'kapan', 'akan', 'tiba', 'di', 'halte', 'terimkasih', 'banyak']","['menbantu', 'banget', 'terimakasih', 'kasih', 'info', 'a', 'halte', 'terimkasih']","['menbantu', 'banget', 'terimakasih', 'kasih', 'info', 'a', 'halte', 'terimkasih']",menbantu banget terimakasih kasih info a halte terimkasih
masih perlu di coba untuk meyakinkan pelanggan setia bus transjogja transjogja,4,0,2.2.1,2024-05-27 14:14:27,,,"['masih', 'perlu', 'di', 'coba', 'untuk', 'meyakinkan', 'pelanggan', 'setia', 'bus', 'transjogja', 'transjogja']","['coba', 'pelanggan', 'setia']","['coba', 'langgan', 'setia']",coba langgan setia
sangat membantu saya bisa mengetahui lokasi bus saya secara real time dan sangat bermanfaat bagi yang tidak mau terlalu lama menunggu di halte,5,0,2.2.1,2024-05-21 22:39:44,,,"['sangat', 'membantu', 'saya', 'bisa', 'mengetahui', 'lokasi', 'bus', 'saya', 'secara', 'real', 'time', 'dan', 'sangat', 'bermanfaat', 'bagi', 'yang', 'tidak', 'mau', 'terlalu', 'lama', 'menunggu', 'di', 'halte']","['membantu', 'lokasi', 'real', 'time', 'bermanfaat', 'menunggu', 'halte']","['bantu', 'lokasi', 'real', 'time', 'manfaat', 'tunggu', 'halte']",bantu lokasi real time manfaat tunggu halte
tolong untuk di update aplikasi info rute tidak sinkron jalur sudah tidak tersedia sedangkan di peta integritas masih ada marker bus juga belum terpantau semua selebihnya sudah oke,4,1,2.2.1,2024-05-21 19:25:42,,,"['tolong', 'untuk', 'di', 'update', 'aplikasi', 'info', 'rute', 'tidak', 'sinkron', 'jalur', 'sudah', 'tidak', 'tersedia', 'sedangkan', 'di', 'peta', 'integritas', 'masih', 'ada', 'marker', 'bus', 'juga', 'belum', 'terpantau', 'semua', 'selebihnya', 'sudah', 'oke']","['tolong', 'update', 'aplikasi', 'info', 'rute', 'sinkron', 'jalur', 'tersedia', 'peta', 'integritas', 'marker', 'terpantau', 'selebihnya', 'oke']","['tolong', 'update', 'aplikasi', 'info', 'rute', 'sinkron', 'jalur', 'sedia', 'peta', 'integritas', 'marker', 'pantau', 'lebih', 'oke']",tolong update aplikasi info rute sinkron jalur sedia peta integritas marker pantau lebih oke
baguss sekalii aplikasi nya sangat membantu memantau bus,5,0,,2024-05-20 08:34:22,,,"['baguss', 'sekalii', 'aplikasi', 'nya', 'sangat', 'membantu', 'memantau', 'bus']","['baguss', 'sekalii', 'aplikasi', 'membantu', 'memantau']","['baguss', 'sekali', 'aplikasi', 'bantu', 'pantau']",baguss sekali aplikasi bantu pantau
tidak berguna,1,0,,2024-05-13 10:11:00,,,"['tidak', 'berguna']",['berguna'],['guna'],guna
bagus untuk cek bus transjogja transjogja sampai dimana,5,0,2.2.1,2024-05-07 16:50:45,,,"['bagus', 'untuk', 'cek', 'bus', 'transjogja', 'transjogja', 'sampai', 'dimana']","['bagus', 'cek', 'dimana']","['bagus', 'cek', 'mana']",bagus cek mana
akurat,5,0,2.2.1,2024-04-25 10:06:54,,,['akurat'],['akurat'],['akurat'],akurat
manteb sih semoga diperluas lagi jaringannya smpai pantai selatan paris samas pantai baru,5,0,2.2.1,2024-04-20 08:31:24,,,"['manteb', 'sih', 'semoga', 'diperluas', 'lagi', 'jaringannya', 'smpai', 'pantai', 'selatan', 'paris', 'samas', 'pantai', 'baru']","['manteb', 'semoga', 'diperluas', 'jaringannya', 'smpai', 'pantai', 'selatan', 'paris', 'samas', 'pantai']","['manteb', 'moga', 'luas', 'jaring', 'smpai', 'pantai', 'selatan', 'paris', 'samas', 'pantai']",manteb moga luas jaring smpai pantai selatan paris samas pantai
alhamdulillah lumayan terbantu melihat posisi bus yang mana fitur itu tidak ada di google maps sempat bingung ada rute yang tidak muncul tanya kondektur ternyata caranya dibalik aja arah rutenya mantap deh sukses terus transjogja transjogja,5,13,2.2.1,2024-04-14 09:07:44,,,"['alhamdulillah', 'lumayan', 'terbantu', 'melihat', 'posisi', 'bus', 'yang', 'mana', 'fitur', 'itu', 'tidak', 'ada', 'di', 'google', 'maps', 'sempat', 'bingung', 'ada', 'rute', 'yang', 'tidak', 'muncul', 'tanya', 'kondektur', 'ternyata', 'caranya', 'dibalik', 'aja', 'arah', 'rutenya', 'mantap', 'deh', 'sukses', 'terus', 'transjogja', 'transjogja']","['alhamdulillah', 'lumayan', 'terbantu', 'posisi', 'fitur', 'google', 'maps', 'bingung', 'rute', 'muncul', 'kondektur', 'dibalik', 'arah', 'rutenya', 'mantap', 'deh', 'sukses']","['alhamdulillah', 'lumayan', 'bantu', 'posisi', 'fitur', 'google', 'maps', 'bingung', 'rute', 'muncul', 'kondektur', 'balik', 'arah', 'rute', 'mantap', 'deh', 'sukses']",alhamdulillah lumayan bantu posisi fitur google maps bingung rute muncul kondektur balik arah rute mantap deh sukses
sangat membantu sekali aplikasi untuk kedepannya opsi pembayarannya lebih diperbanyak lagii,5,0,2.2.1,2024-04-07 12:04:02,,,"['sangat', 'membantu', 'sekali', 'aplikasi', 'untuk', 'kedepannya', 'opsi', 'pembayarannya', 'lebih', 'diperbanyak', 'lagii']","['membantu', 'aplikasi', 'kedepannya', 'opsi', 'pembayarannya', 'diperbanyak', 'lagii']","['bantu', 'aplikasi', 'depan', 'opsi', 'bayar', 'banyak', 'lagi']",bantu aplikasi depan opsi bayar banyak lagi
informasi tidak akurat dan malah menyesatkan mencari tujuan tidak ada malah yang selalu muncul nama tempat di daerah lain bahkan sumatra,2,1,2.2.1,2024-03-27 05:48:24,,,"['informasi', 'tidak', 'akurat', 'dan', 'malah', 'menyesatkan', 'mencari', 'tujuan', 'tidak', 'ada', 'malah', 'yang', 'selalu', 'muncul', 'nama', 'tempat', 'di', 'daerah', 'lain', 'bahkan', 'sumatra']","['informasi', 'akurat', 'menyesatkan', 'mencari', 'tujuan', 'muncul', 'nama', 'daerah', 'sumatra']","['informasi', 'akurat', 'sesat', 'cari', 'tuju', 'muncul', 'nama', 'daerah', 'sumatra']",informasi akurat sesat cari tuju muncul nama daerah sumatra
akhir ini aplikasi justru sering error atau lemot dalam membaca rute atau untuk memantau maps bus harus bolak balik keluar aplikasi untuk dapat menggunakanya mohon diperbaiki agar penumpang dapat memaksimalkan layanan transjogja,2,0,2.2.1,2024-03-27 00:29:10,,,"['akhir', 'ini', 'aplikasi', 'justru', 'sering', 'error', 'atau', 'lemot', 'dalam', 'membaca', 'rute', 'atau', 'untuk', 'memantau', 'maps', 'bus', 'harus', 'bolak', 'balik', 'keluar', 'aplikasi', 'untuk', 'dapat', 'menggunakanya', 'mohon', 'diperbaiki', 'agar', 'penumpang', 'dapat', 'memaksimalkan', 'layanan', 'transjogja']","['aplikasi', 'error', 'lemot', 'membaca', 'rute', 'memantau', 'maps', 'bolak', 'aplikasi', 'menggunakanya', 'mohon', 'diperbaiki', 'penumpang', 'memaksimalkan', 'layanan']","['aplikasi', 'error', 'lot', 'baca', 'rute', 'pantau', 'maps', 'bolak', 'aplikasi', 'menggunakanya', 'mohon', 'baik', 'tumpang', 'maksimal', 'layan']",aplikasi error lot baca rute pantau maps bolak aplikasi menggunakanya mohon baik tumpang maksimal layan
bus ramah anak free utk anak di bawah tahun perjalanan enjoy sangat,5,0,2.2.1,2024-03-26 10:03:12,,,"['bus', 'ramah', 'anak', 'free', 'utk', 'anak', 'di', 'bawah', 'tahun', 'perjalanan', 'enjoy', 'sangat']","['ramah', 'anak', 'free', 'utk', 'anak', 'perjalanan', 'enjoy']","['ramah', 'anak', 'free', 'utk', 'anak', 'jalan', 'enjoy']",ramah anak free utk anak jalan enjoy
lemot padahal sinyal lancar tapi loadingnya lama tulisannya tidak ada internet padahal kuota masih banyak dan kadang harus keluar masuk untuk supaya bisa reload,2,1,2.2.1,2024-03-21 05:22:50,,,"['lemot', 'padahal', 'sinyal', 'lancar', 'tapi', 'loadingnya', 'lama', 'tulisannya', 'tidak', 'ada', 'internet', 'padahal', 'kuota', 'masih', 'banyak', 'dan', 'kadang', 'harus', 'keluar', 'masuk', 'untuk', 'supaya', 'bisa', 'reload']","['lemot', 'sinyal', 'lancar', 'loadingnya', 'tulisannya', 'internet', 'kuota', 'kadang', 'masuk', 'reload']","['lot', 'sinyal', 'lancar', 'loadingnya', 'tulis', 'internet', 'kuota', 'kadang', 'masuk', 'reload']",lot sinyal lancar loadingnya tulis internet kuota kadang masuk reload
good transportation public,5,0,,2024-02-28 10:21:15,,,"['good', 'transportation', 'public']","['good', 'transportation', 'public']","['good', 'transportation', 'public']",good transportation public
bagus,5,0,2.2.1,2024-02-26 03:07:14,,,['bagus'],['bagus'],['bagus'],bagus
terimakasih transjogja transjogja tolong tambahkan rute isi yogyakarta tembi rs panembahan senopati dan ganjuran bambanglipuro,5,0,2.2.1,2024-02-23 02:01:21,,,"['terimakasih', 'transjogja', 'transjogja', 'tolong', 'tambahkan', 'rute', 'isi', 'yogyakarta', 'tembi', 'rs', 'panembahan', 'senopati', 'dan', 'ganjuran', 'bambanglipuro']","['terimakasih', 'tolong', 'tambahkan', 'rute', 'isi', 'yogyakarta', 'tembi', 'rs', 'panembahan', 'senopati', 'ganjuran', 'bambanglipuro']","['terimakasih', 'tolong', 'tambah', 'rute', 'isi', 'yogyakarta', 'tembi', 'rs', 'panembahan', 'senopati', 'ganjur', 'bambanglipuro']",terimakasih tolong tambah rute isi yogyakarta tembi rs panembahan senopati ganjur bambanglipuro
sangat berguna untuk saya yang sering menggunakan transjogja transjogja ada banyak fitur yang sangat membantu untuk berbagai pengguna bintang,5,10,2.2.1,2024-02-21 10:45:10,,,"['sangat', 'berguna', 'untuk', 'saya', 'yang', 'sering', 'menggunakan', 'transjogja', 'transjogja', 'ada', 'banyak', 'fitur', 'yang', 'sangat', 'membantu', 'untuk', 'berbagai', 'pengguna', 'bintang']","['berguna', 'fitur', 'membantu', 'pengguna', 'bintang']","['guna', 'fitur', 'bantu', 'guna', 'bintang']",guna fitur bantu guna bintang
pencarian halte susah tidak sesuai nama tempat,1,1,2.2.0,2024-01-28 13:39:18,,,"['pencarian', 'halte', 'susah', 'tidak', 'sesuai', 'nama', 'tempat']","['pencarian', 'halte', 'susah', 'sesuai', 'nama']","['cari', 'halte', 'susah', 'sesuai', 'nama']",cari halte susah sesuai nama
pokoknya saya pribadi sangat puas banget dgn pelayanan bus transjogja jogya dgn harga tiket nya murah banget lg mksh bnyk dgn adanya transfortasi bus ini,5,3,2.2.0,2024-01-27 08:02:56,,,"['pokoknya', 'saya', 'pribadi', 'sangat', 'puas', 'banget', 'dgn', 'pelayanan', 'bus', 'transjogja', 'jogya', 'dgn', 'harga', 'tiket', 'nya', 'murah', 'banget', 'lg', 'mksh', 'bnyk', 'dgn', 'adanya', 'transfortasi', 'bus', 'ini']","['pokoknya', 'pribadi', 'puas', 'banget', 'dgn', 'pelayanan', 'jogya', 'dgn', 'harga', 'tiket', 'murah', 'banget', 'lg', 'mksh', 'bnyk', 'dgn', 'transfortasi']","['pokok', 'pribadi', 'puas', 'banget', 'dgn', 'layan', 'jogya', 'dgn', 'harga', 'tiket', 'murah', 'banget', 'lg', 'mksh', 'bnyk', 'dgn', 'transfortasi']",pokok pribadi puas banget dgn layan jogya dgn harga tiket murah banget lg mksh bnyk dgn transfortasi
makin bagus saran ada info driver kernet,5,4,2.2.0,2024-01-23 07:54:50,,,"['makin', 'bagus', 'saran', 'ada', 'info', 'driver', 'kernet']","['bagus', 'saran', 'info', 'driver', 'kernet']","['bagus', 'saran', 'info', 'driver', 'kernet']",bagus saran info driver kernet
buruk menu search bukan mengacu didaerah yogyakarta saja tapi malah ke jarak jauh sampai semarang dan semua area jateng masih mending maps,1,6,2.2.0,2024-01-23 01:36:32,,,"['buruk', 'menu', 'search', 'bukan', 'mengacu', 'didaerah', 'yogyakarta', 'saja', 'tapi', 'malah', 'ke', 'jarak', 'jauh', 'sampai', 'semarang', 'dan', 'semua', 'area', 'jateng', 'masih', 'mending', 'maps']","['buruk', 'menu', 'search', 'mengacu', 'didaerah', 'yogyakarta', 'jarak', 'semarang', 'area', 'jateng', 'mending', 'maps']","['buruk', 'menu', 'search', 'acu', 'daerah', 'yogyakarta', 'jarak', 'semarang', 'area', 'jateng', 'mending', 'maps']",buruk menu search acu daerah yogyakarta jarak semarang area jateng mending maps
masih sangat perlu di improve karena pencarian nya masih susah tidak berdasarkan nama tempat yang ingin di tuju contoh ke stasiun tugu tidak muncul di search,1,15,2.2.0,2024-01-14 07:13:24,,,"['masih', 'sangat', 'perlu', 'di', 'improve', 'karena', 'pencarian', 'nya', 'masih', 'susah', 'tidak', 'berdasarkan', 'nama', 'tempat', 'yang', 'ingin', 'di', 'tuju', 'contoh', 'ke', 'stasiun', 'tugu', 'tidak', 'muncul', 'di', 'search']","['improve', 'pencarian', 'susah', 'berdasarkan', 'nama', 'tuju', 'contoh', 'stasiun', 'tugu', 'muncul', 'search']","['improve', 'cari', 'susah', 'dasar', 'nama', 'tuju', 'contoh', 'stasiun', 'tugu', 'muncul', 'search']",improve cari susah dasar nama tuju contoh stasiun tugu muncul search
aplikasi terus terusan error dlm sebulan ini posisi bus tak terlihat,1,3,2.1.9,2023-12-21 22:52:19,,,"['aplikasi', 'terus', 'terusan', 'error', 'dlm', 'sebulan', 'ini', 'posisi', 'bus', 'tak', 'terlihat']","['aplikasi', 'terusan', 'error', 'dlm', 'sebulan', 'posisi']","['aplikasi', 'terus', 'error', 'dlm', 'bulan', 'posisi']",aplikasi terus error dlm bulan posisi
aplikasi penipuan,5,0,,2023-12-21 07:30:02,,,"['aplikasi', 'penipuan']","['aplikasi', 'penipuan']","['aplikasi', 'tipu']",aplikasi tipu
josss,5,0,2.1.9,2023-12-20 22:57:42,,,['josss'],['josss'],['josss'],josss
sering banget error aplikasi sekarang padahal lagi dibutuhin banget lihat posisi bus lagi dimana,2,7,2.1.9,2023-12-19 00:45:33,,,"['sering', 'banget', 'error', 'aplikasi', 'sekarang', 'padahal', 'lagi', 'dibutuhin', 'banget', 'lihat', 'posisi', 'bus', 'lagi', 'dimana']","['banget', 'error', 'aplikasi', 'dibutuhin', 'banget', 'lihat', 'posisi', 'dimana']","['banget', 'error', 'aplikasi', 'dibutuhin', 'banget', 'lihat', 'posisi', 'mana']",banget error aplikasi dibutuhin banget lihat posisi mana
bagus,5,0,,2023-12-11 09:20:15,,,['bagus'],['bagus'],['bagus'],bagus
kalo boleh untuk penggunaan data nya dikurangi,4,1,2.1.9,2023-12-05 08:22:46,,,"['kalo', 'boleh', 'untuk', 'penggunaan', 'data', 'nya', 'dikurangi']","['penggunaan', 'data', 'dikurangi']","['guna', 'data', 'rang']",guna data rang
bisa mantau teje jadi bagus,5,0,2.1.9,2023-12-03 07:21:30,,,"['bisa', 'mantau', 'teje', 'jadi', 'bagus']","['mantau', 'teje', 'bagus']","['mantau', 'teje', 'bagus']",mantau teje bagus
halte colombo uny tolong tambahin lampu biar terang sudah x saya dilewati bus malam hari karena sopir mungkin tidak melihat padahal saya sudah melambaikan tangan,1,0,,2023-12-02 12:30:33,,,"['halte', 'colombo', 'uny', 'tolong', 'tambahin', 'lampu', 'biar', 'terang', 'sudah', 'x', 'saya', 'dilewati', 'bus', 'malam', 'hari', 'karena', 'sopir', 'mungkin', 'tidak', 'melihat', 'padahal', 'saya', 'sudah', 'melambaikan', 'tangan']","['halte', 'colombo', 'uny', 'tolong', 'tambahin', 'lampu', 'biar', 'terang', 'x', 'dilewati', 'malam', 'sopir', 'melambaikan', 'tangan']","['halte', 'colombo', 'uny', 'tolong', 'tambahin', 'lampu', 'biar', 'terang', 'x', 'lewat', 'malam', 'sopir', 'lambai', 'tangan']",halte colombo uny tolong tambahin lampu biar terang x lewat malam sopir lambai tangan
tolong lah untuk b kalo hujan masa jeda sampai jam lebih biasa cmn mntan saya mau berangkat dan pulang sekolah jadi menunggu lama,3,1,2.1.9,2023-12-01 01:47:47,,,"['tolong', 'lah', 'untuk', 'b', 'kalo', 'hujan', 'masa', 'jeda', 'sampai', 'jam', 'lebih', 'biasa', 'cmn', 'mntan', 'saya', 'mau', 'berangkat', 'dan', 'pulang', 'sekolah', 'jadi', 'menunggu', 'lama']","['tolong', 'b', 'hujan', 'jeda', 'jam', 'biasa', 'cmn', 'mntan', 'berangkat', 'pulang', 'sekolah', 'menunggu']","['tolong', 'b', 'hujan', 'jeda', 'jam', 'biasa', 'cmn', 'mntan', 'berangkat', 'pulang', 'sekolah', 'tunggu']",tolong b hujan jeda jam biasa cmn mntan berangkat pulang sekolah tunggu
sering trouble penangan kelamaan,3,0,2.1.8,2023-11-29 01:21:03,,,"['sering', 'trouble', 'penangan', 'kelamaan']","['trouble', 'penangan']","['trouble', 'nang']",trouble nang
keren,5,0,2.1.8,2023-11-16 00:45:10,,,['keren'],['keren'],['keren'],keren
jadwal tidak jelas tidak sampai kelang waktu setengah jam bus sudah lewat dan harus menunggu jam lagi baru dapat bus,1,1,2.1.8,2023-11-13 02:48:03,,,"['jadwal', 'tidak', 'jelas', 'tidak', 'sampai', 'kelang', 'waktu', 'setengah', 'jam', 'bus', 'sudah', 'lewat', 'dan', 'harus', 'menunggu', 'jam', 'lagi', 'baru', 'dapat', 'bus']","['jadwal', 'kelang', 'jam', 'menunggu', 'jam']","['jadwal', 'kelang', 'jam', 'tunggu', 'jam']",jadwal kelang jam tunggu jam
hai saya nazanda r,4,0,2.1.8,2023-11-11 21:25:06,,,"['hai', 'saya', 'nazanda', 'r']","['hai', 'nazanda', 'r']","['hai', 'nazanda', 'r']",hai nazanda r
gw bantu lerr,1,0,2.1.8,2023-11-09 12:28:27,,,"['gw', 'bantu', 'lerr']","['bantu', 'lerr']","['bantu', 'lerr']",bantu lerr
sangat membantu,5,0,2.1.8,2023-11-03 09:21:12,,,"['sangat', 'membantu']",['membantu'],['bantu'],bantu
bus belum kelihatan di aplikasi,5,2,2.1.8,2023-11-02 01:36:45,,,"['bus', 'belum', 'kelihatan', 'di', 'aplikasi']",['aplikasi'],['aplikasi'],aplikasi
daftar sopir dan kernet yg pernah bahkan sering bermasalah melanggar terutama ke customer a b sering bgt di depan polsek depok timur nomer ab bk jam okt di ngabean okt di queen latifa dll lupa byk bgt sering bgt,4,0,,2023-11-01 06:08:55,,,"['daftar', 'sopir', 'dan', 'kernet', 'yg', 'pernah', 'bahkan', 'sering', 'bermasalah', 'melanggar', 'terutama', 'ke', 'customer', 'a', 'b', 'sering', 'bgt', 'di', 'depan', 'polsek', 'depok', 'timur', 'nomer', 'ab', 'bk', 'jam', 'okt', 'di', 'ngabean', 'okt', 'di', 'queen', 'latifa', 'dll', 'lupa', 'byk', 'bgt', 'sering', 'bgt']","['daftar', 'sopir', 'kernet', 'bermasalah', 'melanggar', 'customer', 'a', 'b', 'polsek', 'depok', 'timur', 'nomer', 'ab', 'bk', 'jam', 'okt', 'ngabean', 'okt', 'queen', 'latifa', 'dll', 'lupa', 'byk']","['daftar', 'sopir', 'kernet', 'masalah', 'langgar', 'customer', 'a', 'b', 'polsek', 'depok', 'timur', 'nomer', 'ab', 'bk', 'jam', 'okt', 'ngabean', 'okt', 'queen', 'latifa', 'dll', 'lupa', 'byk']",daftar sopir kernet masalah langgar customer a b polsek depok timur nomer ab bk jam okt ngabean okt queen latifa dll lupa byk
sangat berguna,5,0,2.1.7,2023-10-29 11:56:47,,,"['sangat', 'berguna']",['berguna'],['guna'],guna
aplikase bangsat,1,0,2.1.5,2023-10-27 00:08:39,,,"['aplikase', 'bangsat']","['aplikase', 'bangsat']","['aplikase', 'bangsat']",aplikase bangsat
jalur tidak sesuai jadwal sudah kali tidak berangkat menunggu jam an hmmmmmm,2,0,,2023-10-21 11:04:59,,,"['jalur', 'tidak', 'sesuai', 'jadwal', 'sudah', 'kali', 'tidak', 'berangkat', 'menunggu', 'jam', 'an', 'hmmmmmm']","['jalur', 'sesuai', 'jadwal', 'kali', 'berangkat', 'menunggu', 'jam', 'an', 'hmmmmmm']","['jalur', 'sesuai', 'jadwal', 'kali', 'berangkat', 'tunggu', 'jam', 'an', 'hmmmmmm']",jalur sesuai jadwal kali berangkat tunggu jam an hmmmmmm
