content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,content_cleaned,content_cleaned_stopwords,tokens,clean_tokens,stemmed_tokens,final_text,text_length,score_label
aplikasi praktis.. sangat membantu lancarnya perjalanan.. perlu disosialisasikan terus mungkin banyak yang belum memanfaatkan..,5,5,2.3.0,2025-02-21 23:44:22,,,aplikasi praktis sangat membantu lancarnya perjalanan perlu disosialisasikan terus mungkin banyak yang belum memanfaatkan,aplikasi praktis membantu lancarnya perjalanan disosialisasikan memanfaatkan,"['aplikasi', 'praktis', 'sangat', 'membantu', 'lancarnya', 'perjalanan', 'perlu', 'disosialisasikan', 'terus', 'mungkin', 'banyak', 'yang', 'belum', 'memanfaatkan']","['aplikasi', 'praktis', 'membantu', 'lancarnya', 'perjalanan', 'disosialisasikan', 'memanfaatkan']","['aplikasi', 'praktis', 'bantu', 'lancar', 'jalan', 'sosialisasi', 'manfaat']",aplikasi praktis bantu lancar jalan sosialisasi manfaat,7,Positive
memuaskan,5,0,2.3.0,2025-02-20 07:13:13,,,memuaskan,memuaskan,['memuaskan'],['memuaskan'],['muas'],muas,1,Positive
sangat bagus,5,0,2.3.0,2025-02-19 10:47:05,,,sangat bagus,bagus,"['sangat', 'bagus']",['bagus'],['bagus'],bagus,1,Positive
,5,0,2.3.0,2025-02-17 22:54:53,,,,,[],[],[],,0,Positive
mohon ditambah halte lagi di barat simpang wojo yang arah ke terminal giwangan. untuk jalur 9,5,0,2.3.0,2025-02-17 06:21:45,,,mohon ditambah halte lagi di barat simpang wojo yang arah ke terminal giwangan untuk jalur,mohon ditambah halte barat simpang wojo arah terminal giwangan jalur,"['mohon', 'ditambah', 'halte', 'lagi', 'di', 'barat', 'simpang', 'wojo', 'yang', 'arah', 'ke', 'terminal', 'giwangan', 'untuk', 'jalur']","['mohon', 'ditambah', 'halte', 'barat', 'simpang', 'wojo', 'arah', 'terminal', 'giwangan', 'jalur']","['mohon', 'tambah', 'halte', 'barat', 'simpang', 'wojo', 'arah', 'terminal', 'giwang', 'jalur']",mohon tambah halte barat simpang wojo arah terminal giwang jalur,10,Positive
"wah bagus banget, semuanya lengkap dan ngga ada iklan loh! makasih trans jogja udah menemani kita semua. tapi bisa ngga hubungkan metode pembayaran ke gopay?",5,11,2.3.0,2025-02-16 12:52:42,,,wah bagus banget semuanya lengkap dan tidak ada iklan loh terimakasih transjogja transjogja udah menemani kita semua tapi bisa tidak hubungkan metode pembayaran ke gopay,bagus banget lengkap iklan terimakasih transjogja transjogja udah menemani hubungkan metode pembayaran gopay,"['wah', 'bagus', 'banget', 'semuanya', 'lengkap', 'dan', 'tidak', 'ada', 'iklan', 'loh', 'terimakasih', 'transjogja', 'transjogja', 'udah', 'menemani', 'kita', 'semua', 'tapi', 'bisa', 'tidak', 'hubungkan', 'metode', 'pembayaran', 'ke', 'gopay']","['bagus', 'banget', 'lengkap', 'iklan', 'terimakasih', 'transjogja', 'transjogja', 'udah', 'menemani', 'hubungkan', 'metode', 'pembayaran', 'gopay']","['bagus', 'banget', 'lengkap', 'iklan', 'terimakasih', 'transjogja', 'transjogja', 'udah', 'tani', 'hubung', 'metode', 'bayar', 'gopay']",bagus banget lengkap iklan terimakasih transjogja transjogja udah tani hubung metode bayar gopay,13,Positive
bagus,5,0,2.3.0,2025-02-16 04:41:30,,,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus,1,Positive
"tolong dong yg jalur 12,14, sama 2a tlong ganti bisnya jdi yg besar dong karena 3 jalur itu byk yg pake, apalagi yg jalur ke pakem. masa kl udh penuh nunggu lagi, dan itu lama bgt. sama couternya tambahin lgi lah kyk dlu. saya sering telat krn bisnya sering bgt berubah2 jamnya. kl dulu kan msh byk couter jdi kl telat dikit bisnya masih ada lah ini nunggu 30 mnt sendiri. sama bisnya jgn suka berenti pas lgi jam operasional dong, saya jdi sering telat gr"" suka berenti. semoga ada perkembangan. thx",2,4,2.3.0,2025-02-15 14:48:41,,,tolong dong yang jalur sama a tlong ganti bus jdi yang besar dong karena jalur itu byk yang pakai apalagi yang jalur ke pakem masa kalau udh penuh menunggu lagi dan itu lama banget sama couternya tambahin lgi lah kyk dlu saya sering telat krn bus sering banget berubah jamnya kalau dulu kan masih byk couter jdi kalau telat dikit bus masih ada lah ini menunggu mnt sendiri sama bus jangan suka berenti pas lgi jam operasional dong saya jdi sering telat gr suka berenti semoga ada perkembangan terimakasih,tolong jalur a tlong ganti bus jdi jalur byk pakai jalur pakem udh penuh menunggu banget couternya tambahin lgi kyk dlu telat krn bus banget berubah jamnya byk couter jdi telat dikit bus menunggu mnt bus suka berenti pas lgi jam operasional jdi telat gr suka berenti semoga perkembangan terimakasih,"['tolong', 'dong', 'yang', 'jalur', 'sama', 'a', 'tlong', 'ganti', 'bus', 'jdi', 'yang', 'besar', 'dong', 'karena', 'jalur', 'itu', 'byk', 'yang', 'pakai', 'apalagi', 'yang', 'jalur', 'ke', 'pakem', 'masa', 'kalau', 'udh', 'penuh', 'menunggu', 'lagi', 'dan', 'itu', 'lama', 'banget', 'sama', 'couternya', 'tambahin', 'lgi', 'lah', 'kyk', 'dlu', 'saya', 'sering', 'telat', 'krn', 'bus', 'sering', 'banget', 'berubah', 'jamnya', 'kalau', 'dulu', 'kan', 'masih', 'byk', 'couter', 'jdi', 'kalau', 'telat', 'dikit', 'bus', 'masih', 'ada', 'lah', 'ini', 'menunggu', 'mnt', 'sendiri', 'sama', 'bus', 'jangan', 'suka', 'berenti', 'pas', 'lgi', 'jam', 'operasional', 'dong', 'saya', 'jdi', 'sering', 'telat', 'gr', 'suka', 'berenti', 'semoga', 'ada', 'perkembangan', 'terimakasih']","['tolong', 'jalur', 'a', 'tlong', 'ganti', 'bus', 'jdi', 'jalur', 'byk', 'pakai', 'jalur', 'pakem', 'udh', 'penuh', 'menunggu', 'banget', 'couternya', 'tambahin', 'lgi', 'kyk', 'dlu', 'telat', 'krn', 'bus', 'banget', 'berubah', 'jamnya', 'byk', 'couter', 'jdi', 'telat', 'dikit', 'bus', 'menunggu', 'mnt', 'bus', 'suka', 'berenti', 'pas', 'lgi', 'jam', 'operasional', 'jdi', 'telat', 'gr', 'suka', 'berenti', 'semoga', 'perkembangan', 'terimakasih']","['tolong', 'jalur', 'a', 'tlong', 'ganti', 'bus', 'jdi', 'jalur', 'byk', 'pakai', 'jalur', 'pakem', 'udh', 'penuh', 'tunggu', 'banget', 'couternya', 'tambahin', 'lgi', 'kyk', 'dlu', 'telat', 'krn', 'bus', 'banget', 'ubah', 'jam', 'byk', 'couter', 'jdi', 'telat', 'dikit', 'bus', 'tunggu', 'mnt', 'bus', 'suka', 'renti', 'pas', 'lgi', 'jam', 'operasional', 'jdi', 'telat', 'gr', 'suka', 'renti', 'moga', 'kembang', 'terimakasih']",tolong jalur a tlong ganti bus jdi jalur byk pakai jalur pakem udh penuh tunggu banget couternya tambahin lgi kyk dlu telat krn bus banget ubah jam byk couter jdi telat dikit bus tunggu mnt bus suka renti pas lgi jam operasional jdi telat gr suka renti moga kembang terimakasih,50,Negative
"mohon untuk halte halte yang baru di rute jalur 14 dan 12 diberi tanda, dikarenakan ada beberapa bus yang tidak berhenti di situ saat penumpang menunggu. mohon dibuat sop untuk setiap halte bus untuk berhenti dikarenakan banyak penumpang disabilitas netra yang tidak tahu bila bus itu datang. mohon rute lain seperti 2a 2b, juga diedit seperti 1a & 1 b supaya tidak berputar-putar rutenya . dibuat untuk rute kepergian dan kepulangannya yang sama. mohon petugas di halte untuk lebih ramah & akses .",5,8,2.3.0,2025-02-14 23:33:18,,,mohon untuk halte halte yang baru di rute jalur dan diberi tanda dikarenakan ada beberapa bus yang tidak berhenti di situ saat penumpang menunggu mohon dibuat sop untuk setiap halte bus untuk berhenti dikarenakan banyak penumpang disabilitas netra yang tidak tahu bila bus itu datang mohon rute lain seperti a b juga diedit seperti a b supaya tidak berputar putar rutenya dibuat untuk rute kepergian dan kepulangannya yang sama mohon petugas di halte untuk lebih ramah akses,mohon halte halte rute jalur tanda bus berhenti situ penumpang menunggu mohon sop halte bus berhenti penumpang disabilitas netra bus mohon rute a b diedit a b berputar putar rutenya rute kepergian kepulangannya mohon petugas halte ramah akses,"['mohon', 'untuk', 'halte', 'halte', 'yang', 'baru', 'di', 'rute', 'jalur', 'dan', 'diberi', 'tanda', 'dikarenakan', 'ada', 'beberapa', 'bus', 'yang', 'tidak', 'berhenti', 'di', 'situ', 'saat', 'penumpang', 'menunggu', 'mohon', 'dibuat', 'sop', 'untuk', 'setiap', 'halte', 'bus', 'untuk', 'berhenti', 'dikarenakan', 'banyak', 'penumpang', 'disabilitas', 'netra', 'yang', 'tidak', 'tahu', 'bila', 'bus', 'itu', 'datang', 'mohon', 'rute', 'lain', 'seperti', 'a', 'b', 'juga', 'diedit', 'seperti', 'a', 'b', 'supaya', 'tidak', 'berputar', 'putar', 'rutenya', 'dibuat', 'untuk', 'rute', 'kepergian', 'dan', 'kepulangannya', 'yang', 'sama', 'mohon', 'petugas', 'di', 'halte', 'untuk', 'lebih', 'ramah', 'akses']","['mohon', 'halte', 'halte', 'rute', 'jalur', 'tanda', 'bus', 'berhenti', 'situ', 'penumpang', 'menunggu', 'mohon', 'sop', 'halte', 'bus', 'berhenti', 'penumpang', 'disabilitas', 'netra', 'bus', 'mohon', 'rute', 'a', 'b', 'diedit', 'a', 'b', 'berputar', 'putar', 'rutenya', 'rute', 'kepergian', 'kepulangannya', 'mohon', 'petugas', 'halte', 'ramah', 'akses']","['mohon', 'halte', 'halte', 'rute', 'jalur', 'tanda', 'bus', 'henti', 'situ', 'tumpang', 'tunggu', 'mohon', 'sop', 'halte', 'bus', 'henti', 'tumpang', 'disabilitas', 'netra', 'bus', 'mohon', 'rute', 'a', 'b', 'edit', 'a', 'b', 'putar', 'putar', 'rute', 'rute', 'pergi', 'pulang', 'mohon', 'tugas', 'halte', 'ramah', 'akses']",mohon halte halte rute jalur tanda bus henti situ tumpang tunggu mohon sop halte bus henti tumpang disabilitas netra bus mohon rute a b edit a b putar putar rute rute pergi pulang mohon tugas halte ramah akses,38,Positive
bagus,5,0,2.2.1,2025-02-12 13:13:08,,,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus,1,Positive
5b lama banget bus nya cuma 3,1,0,,2025-02-11 22:59:43,,,b lama banget bus nya cuma,b banget bus,"['b', 'lama', 'banget', 'bus', 'nya', 'cuma']","['b', 'banget', 'bus']","['b', 'banget', 'bus']",b banget bus,3,Negative
ini aplikasinya kenapa ya kalo buat mantau lokasi loadingnya suka lama,3,1,2.3.0,2025-02-10 08:37:37,,,ini aplikasi kenapa ya kalau buat mantau lokasi loadingnya suka lama,aplikasi mantau lokasi loadingnya suka,"['ini', 'aplikasi', 'kenapa', 'ya', 'kalau', 'buat', 'mantau', 'lokasi', 'loadingnya', 'suka', 'lama']","['aplikasi', 'mantau', 'lokasi', 'loadingnya', 'suka']","['aplikasi', 'mantau', 'lokasi', 'loadingnya', 'suka']",aplikasi mantau lokasi loadingnya suka,5,Neutral
tampilan baru dan keren. apl ini memudahkan moda transportasi tanpa kesulitan. mudah naik bus trans jogja ke tujuan lewat halte setempat.,5,0,2.3.0,2025-02-09 10:07:08,,,tampilan baru dan keren aplikasi ini memudahkan moda transportasi tanpa kesulitan mudah naik bus transjogja transjogja ke tujuan lewat halte setempat,tampilan keren aplikasi memudahkan moda transportasi kesulitan mudah bus transjogja transjogja tujuan halte,"['tampilan', 'baru', 'dan', 'keren', 'aplikasi', 'ini', 'memudahkan', 'moda', 'transportasi', 'tanpa', 'kesulitan', 'mudah', 'naik', 'bus', 'transjogja', 'transjogja', 'ke', 'tujuan', 'lewat', 'halte', 'setempat']","['tampilan', 'keren', 'aplikasi', 'memudahkan', 'moda', 'transportasi', 'kesulitan', 'mudah', 'bus', 'transjogja', 'transjogja', 'tujuan', 'halte']","['tampil', 'keren', 'aplikasi', 'mudah', 'moda', 'transportasi', 'sulit', 'mudah', 'bus', 'transjogja', 'transjogja', 'tuju', 'halte']",tampil keren aplikasi mudah moda transportasi sulit mudah bus transjogja transjogja tuju halte,13,Positive
lama nunggu bisnya di rute tertera ±40menjt tapi saya nunggu 1 jam lebih,1,0,2.2.1,2025-02-07 08:45:27,,,lama menunggu bus di rute tertera menjt tapi saya menunggu jam lebih,menunggu bus rute tertera menjt menunggu jam,"['lama', 'menunggu', 'bus', 'di', 'rute', 'tertera', 'menjt', 'tapi', 'saya', 'menunggu', 'jam', 'lebih']","['menunggu', 'bus', 'rute', 'tertera', 'menjt', 'menunggu', 'jam']","['tunggu', 'bus', 'rute', 'tera', 'menjt', 'tunggu', 'jam']",tunggu bus rute tera menjt tunggu jam,7,Negative
"saran di benahin lagi dong untuk pemberangkatan jangan terlalu lama antar bus nya, kasihan yang menimati layanan tj bagi pekerja,...",1,1,2.2.1,2025-02-06 05:52:08,,,saran di benahin lagi dong untuk pemberangkatan jangan terlalu lama antar bus nya kasihan yang menimati layanan transjogja bagi pekerja,saran benahin pemberangkatan bus kasihan menimati layanan transjogja pekerja,"['saran', 'di', 'benahin', 'lagi', 'dong', 'untuk', 'pemberangkatan', 'jangan', 'terlalu', 'lama', 'antar', 'bus', 'nya', 'kasihan', 'yang', 'menimati', 'layanan', 'transjogja', 'bagi', 'pekerja']","['saran', 'benahin', 'pemberangkatan', 'bus', 'kasihan', 'menimati', 'layanan', 'transjogja', 'pekerja']","['saran', 'benahin', 'berangkat', 'bus', 'kasihan', 'menimati', 'layan', 'transjogja', 'kerja']",saran benahin berangkat bus kasihan menimati layan transjogja kerja,9,Negative
aplikasi kacrut. ngasih peta aja musti hidup in lokasi. bikin boros baterai dan ganggu privasi pengguna,1,0,2.3.0,2025-02-04 03:37:27,,,aplikasi kacrut ngasih peta saja musti hidup in lokasi bikin boros baterai dan ganggu privasi pengguna,aplikasi kacrut ngasih peta musti hidup in lokasi bikin boros baterai ganggu privasi pengguna,"['aplikasi', 'kacrut', 'ngasih', 'peta', 'saja', 'musti', 'hidup', 'in', 'lokasi', 'bikin', 'boros', 'baterai', 'dan', 'ganggu', 'privasi', 'pengguna']","['aplikasi', 'kacrut', 'ngasih', 'peta', 'musti', 'hidup', 'in', 'lokasi', 'bikin', 'boros', 'baterai', 'ganggu', 'privasi', 'pengguna']","['aplikasi', 'kacrut', 'ngasih', 'peta', 'musti', 'hidup', 'in', 'lokasi', 'bikin', 'boros', 'baterai', 'ganggu', 'privasi', 'guna']",aplikasi kacrut ngasih peta musti hidup in lokasi bikin boros baterai ganggu privasi guna,14,Negative
update bikin ngelag,1,0,2.3.0,2025-02-03 10:09:30,,,update bikin ngelag,update bikin ngelag,"['update', 'bikin', 'ngelag']","['update', 'bikin', 'ngelag']","['update', 'bikin', 'ngelag']",update bikin ngelag,3,Negative
tidak bisa loginn,2,0,2.3.0,2025-02-02 15:05:54,,,tidak bisa login,login,"['tidak', 'bisa', 'login']",['login'],['login'],login,1,Negative
"rute nya diupdate dong, banyak bus yang rute nya beda sama di aplikasi.",4,0,2.2.1,2025-01-28 11:57:57,,,rute nya diupdate dong banyak bus yang rute nya beda sama di aplikasi,rute diupdate bus rute beda aplikasi,"['rute', 'nya', 'diupdate', 'dong', 'banyak', 'bus', 'yang', 'rute', 'nya', 'beda', 'sama', 'di', 'aplikasi']","['rute', 'diupdate', 'bus', 'rute', 'beda', 'aplikasi']","['rute', 'diupdate', 'bus', 'rute', 'beda', 'aplikasi']",rute diupdate bus rute beda aplikasi,6,Positive
sangat membantu untuk melihat titik bus dan sekarang enggak susah kalo mau ngasih saran atau aduan,5,0,,2025-01-24 07:56:46,,,sangat membantu untuk melihat titik bus dan sekarang enggak susah kalau mau ngasih saran atau aduan,membantu titik bus susah ngasih saran aduan,"['sangat', 'membantu', 'untuk', 'melihat', 'titik', 'bus', 'dan', 'sekarang', 'enggak', 'susah', 'kalau', 'mau', 'ngasih', 'saran', 'atau', 'aduan']","['membantu', 'titik', 'bus', 'susah', 'ngasih', 'saran', 'aduan']","['bantu', 'titik', 'bus', 'susah', 'ngasih', 'saran', 'adu']",bantu titik bus susah ngasih saran adu,7,Positive
"pak kalo sedang hujan 2b nya jangan berhenti di depok,terima kasih",4,0,,2025-01-13 11:09:07,,,pak kalau sedang hujan b nya jangan berhenti di depok terimakasih,hujan b berhenti depok terimakasih,"['pak', 'kalau', 'sedang', 'hujan', 'b', 'nya', 'jangan', 'berhenti', 'di', 'depok', 'terimakasih']","['hujan', 'b', 'berhenti', 'depok', 'terimakasih']","['hujan', 'b', 'henti', 'depok', 'terimakasih']",hujan b henti depok terimakasih,5,Positive
aplikasi yang sangat membantu.. akan lebih seru apabila ada jam keberangkatan bis berikutnya ,5,0,,2024-12-16 06:57:52,,,aplikasi yang sangat membantu akan lebih seru apabila ada jam keberangkatan bus berikutnya,aplikasi membantu seru jam keberangkatan bus,"['aplikasi', 'yang', 'sangat', 'membantu', 'akan', 'lebih', 'seru', 'apabila', 'ada', 'jam', 'keberangkatan', 'bus', 'berikutnya']","['aplikasi', 'membantu', 'seru', 'jam', 'keberangkatan', 'bus']","['aplikasi', 'bantu', 'seru', 'jam', 'berangkat', 'bus']",aplikasi bantu seru jam berangkat bus,6,Positive
hallo min tolong yang jalur 13 lama bgt  bis cuma 3 ini aku sudah 1jam bis dogkoll,2,0,2.2.1,2024-11-18 06:35:59,,,hallo min tolong yang jalur lama banget bus cuma ini saya sudah jam bus dogkol,hallo min tolong jalur banget bus jam bus dogkol,"['hallo', 'min', 'tolong', 'yang', 'jalur', 'lama', 'banget', 'bus', 'cuma', 'ini', 'saya', 'sudah', 'jam', 'bus', 'dogkol']","['hallo', 'min', 'tolong', 'jalur', 'banget', 'bus', 'jam', 'bus', 'dogkol']","['hallo', 'min', 'tolong', 'jalur', 'banget', 'bus', 'jam', 'bus', 'dogkol']",hallo min tolong jalur banget bus jam bus dogkol,9,Negative
plis banget jalur 14 tambahin armada nya,5,0,2.2.1,2024-11-12 22:34:56,,,plis banget jalur tambahin armada nya,plis banget jalur tambahin armada,"['plis', 'banget', 'jalur', 'tambahin', 'armada', 'nya']","['plis', 'banget', 'jalur', 'tambahin', 'armada']","['plis', 'banget', 'jalur', 'tambahin', 'armada']",plis banget jalur tambahin armada,5,Positive
lokasinya kadang tidak akurat di aps bus sudah deket posisi eh ternyata gak gerak-gerak bus nya saya lihat semua bus juga sama tidak ada yang bergerak padahal masih siang jam 14.00,1,0,2.2.1,2024-11-01 11:39:27,,,lokasinya kadang tidak akurat di aps bus sudah deket posisi eh ternyata tidak gerak gerak bus nya saya lihat semua bus juga sama tidak ada yang bergerak padahal masih siang jam,lokasinya kadang akurat aps bus deket posisi eh gerak gerak bus lihat bus bergerak siang jam,"['lokasinya', 'kadang', 'tidak', 'akurat', 'di', 'aps', 'bus', 'sudah', 'deket', 'posisi', 'eh', 'ternyata', 'tidak', 'gerak', 'gerak', 'bus', 'nya', 'saya', 'lihat', 'semua', 'bus', 'juga', 'sama', 'tidak', 'ada', 'yang', 'bergerak', 'padahal', 'masih', 'siang', 'jam']","['lokasinya', 'kadang', 'akurat', 'aps', 'bus', 'deket', 'posisi', 'eh', 'gerak', 'gerak', 'bus', 'lihat', 'bus', 'bergerak', 'siang', 'jam']","['lokasi', 'kadang', 'akurat', 'aps', 'bus', 'deket', 'posisi', 'eh', 'gerak', 'gerak', 'bus', 'lihat', 'bus', 'gerak', 'siang', 'jam']",lokasi kadang akurat aps bus deket posisi eh gerak gerak bus lihat bus gerak siang jam,16,Negative
"tolong dong pengaturan waktu kapan isi bensin juga harus dipikirin. ini selalu nyusahin penumpang. kayak gaada salah tiba tiba harusnya udah mau sampe malah isi bensin. mending kalo cepet. ini bisa 30 menit sendiri. orang juga banyak kegiatan penting, ada yang kerja dll. kami bayar ga gratis. angkutan kota kok begini! bintang 1",1,0,,2024-10-11 02:50:53,,,tolong dong pengaturan waktu kapan isi bensin juga harus dipikirin ini selalu nyusahin penumpang kayak gaada salah tiba tiba harusnya udah mau sampai malah isi bensin mending kalau cepet ini bisa menit sendiri orang juga banyak kegiatan penting ada yang kerja dl kami bayar tidak gratis angkutan kota kok begini bintang,tolong pengaturan isi bensin dipikirin nyusahin penumpang kayak gaada salah udah isi bensin mending cepet menit orang kegiatan kerja dl bayar gratis angkutan kota bintang,"['tolong', 'dong', 'pengaturan', 'waktu', 'kapan', 'isi', 'bensin', 'juga', 'harus', 'dipikirin', 'ini', 'selalu', 'nyusahin', 'penumpang', 'kayak', 'gaada', 'salah', 'tiba', 'tiba', 'harusnya', 'udah', 'mau', 'sampai', 'malah', 'isi', 'bensin', 'mending', 'kalau', 'cepet', 'ini', 'bisa', 'menit', 'sendiri', 'orang', 'juga', 'banyak', 'kegiatan', 'penting', 'ada', 'yang', 'kerja', 'dl', 'kami', 'bayar', 'tidak', 'gratis', 'angkutan', 'kota', 'kok', 'begini', 'bintang']","['tolong', 'pengaturan', 'isi', 'bensin', 'dipikirin', 'nyusahin', 'penumpang', 'kayak', 'gaada', 'salah', 'udah', 'isi', 'bensin', 'mending', 'cepet', 'menit', 'orang', 'kegiatan', 'kerja', 'dl', 'bayar', 'gratis', 'angkutan', 'kota', 'bintang']","['tolong', 'atur', 'isi', 'bensin', 'dipikirin', 'nyusahin', 'tumpang', 'kayak', 'gaada', 'salah', 'udah', 'isi', 'bensin', 'mending', 'cepet', 'menit', 'orang', 'giat', 'kerja', 'dl', 'bayar', 'gratis', 'angkut', 'kota', 'bintang']",tolong atur isi bensin dipikirin nyusahin tumpang kayak gaada salah udah isi bensin mending cepet menit orang giat kerja dl bayar gratis angkut kota bintang,25,Negative
jadwal gajelas,2,0,,2024-09-17 08:29:21,,,jadwal gajelas,jadwal gajelas,"['jadwal', 'gajelas']","['jadwal', 'gajelas']","['jadwal', 'gajelas']",jadwal gajelas,2,Negative
"menggunakan transjogja di beberapa jalur, semuanya oke, namun kecewa di 1c, entah sistem pengisian solar itu bagaimana, padahal jelas jelas kondisi macet parah, dari bandara (maguwo) harusnya langsung belok kanan ke arah prambanan, malah belok kiri dan putar balik di daerah hotel jayakarta, untuk beli solar, padahal panel solar masih diatas 1/2, dan kenapa harus belinya disitu, dan kenapa belinya juga harus di saat macet, padahal opsi spbu banyak, solar juga masih banyak, dan keluar jalur masuk",1,1,2.2.1,2024-09-16 09:46:43,,,menggunakan transjogja di beberapa jalur semuanya oke namun kecewa di c entah sistem pengisian solar itu bagaimana padahal jelas jelas kondisi macet parah dari bandara maguwo harusnya langsung belok kanan ke arah prambanan malah belok kiri dan putar balik di daerah hotel jayakarta untuk beli solar padahal panel solar masih diatas dan kenapa harus belinya disitu dan kenapa belinya juga harus di saat macet padahal opsi spbu banyak solar juga masih banyak dan keluar jalur masuk,transjogja jalur oke kecewa c sistem pengisian solar kondisi macet parah bandara maguwo langsung belok kanan arah prambanan belok kiri putar daerah hotel jayakarta beli solar panel solar diatas belinya disitu belinya macet opsi spbu solar jalur masuk,"['menggunakan', 'transjogja', 'di', 'beberapa', 'jalur', 'semuanya', 'oke', 'namun', 'kecewa', 'di', 'c', 'entah', 'sistem', 'pengisian', 'solar', 'itu', 'bagaimana', 'padahal', 'jelas', 'jelas', 'kondisi', 'macet', 'parah', 'dari', 'bandara', 'maguwo', 'harusnya', 'langsung', 'belok', 'kanan', 'ke', 'arah', 'prambanan', 'malah', 'belok', 'kiri', 'dan', 'putar', 'balik', 'di', 'daerah', 'hotel', 'jayakarta', 'untuk', 'beli', 'solar', 'padahal', 'panel', 'solar', 'masih', 'diatas', 'dan', 'kenapa', 'harus', 'belinya', 'disitu', 'dan', 'kenapa', 'belinya', 'juga', 'harus', 'di', 'saat', 'macet', 'padahal', 'opsi', 'spbu', 'banyak', 'solar', 'juga', 'masih', 'banyak', 'dan', 'keluar', 'jalur', 'masuk']","['transjogja', 'jalur', 'oke', 'kecewa', 'c', 'sistem', 'pengisian', 'solar', 'kondisi', 'macet', 'parah', 'bandara', 'maguwo', 'langsung', 'belok', 'kanan', 'arah', 'prambanan', 'belok', 'kiri', 'putar', 'daerah', 'hotel', 'jayakarta', 'beli', 'solar', 'panel', 'solar', 'diatas', 'belinya', 'disitu', 'belinya', 'macet', 'opsi', 'spbu', 'solar', 'jalur', 'masuk']","['transjogja', 'jalur', 'oke', 'kecewa', 'c', 'sistem', 'isi', 'solar', 'kondisi', 'macet', 'parah', 'bandara', 'maguwo', 'langsung', 'belok', 'kanan', 'arah', 'prambanan', 'belok', 'kiri', 'putar', 'daerah', 'hotel', 'jayakarta', 'beli', 'solar', 'panel', 'solar', 'atas', 'beli', 'situ', 'beli', 'macet', 'opsi', 'spbu', 'solar', 'jalur', 'masuk']",transjogja jalur oke kecewa c sistem isi solar kondisi macet parah bandara maguwo langsung belok kanan arah prambanan belok kiri putar daerah hotel jayakarta beli solar panel solar atas beli situ beli macet opsi spbu solar jalur masuk,38,Negative
"sudah bagus, jalur sudah sinkron, gps bis juga sudah sinkron. saran, di bagian map untuk ikon bis bisa diberi tanda jalur.",5,2,2.2.1,2024-09-12 06:08:15,,,sudah bagus jalur sudah sinkron gps bus juga sudah sinkron saran di bagian map untuk ikon bus bisa diberi tanda jalur,bagus jalur sinkron gps bus sinkron saran map ikon bus tanda jalur,"['sudah', 'bagus', 'jalur', 'sudah', 'sinkron', 'gps', 'bus', 'juga', 'sudah', 'sinkron', 'saran', 'di', 'bagian', 'map', 'untuk', 'ikon', 'bus', 'bisa', 'diberi', 'tanda', 'jalur']","['bagus', 'jalur', 'sinkron', 'gps', 'bus', 'sinkron', 'saran', 'map', 'ikon', 'bus', 'tanda', 'jalur']","['bagus', 'jalur', 'sinkron', 'gps', 'bus', 'sinkron', 'saran', 'map', 'ikon', 'bus', 'tanda', 'jalur']",bagus jalur sinkron gps bus sinkron saran map ikon bus tanda jalur,12,Positive
cukup membantu...meskipun baca/ngeceknya pelan2,5,0,,2024-09-09 23:14:40,,,cukup membantu meskipun baca ngeceknya pelan,membantu baca ngeceknya pelan,"['cukup', 'membantu', 'meskipun', 'baca', 'ngeceknya', 'pelan']","['membantu', 'baca', 'ngeceknya', 'pelan']","['bantu', 'baca', 'ngeceknya', 'pelan']",bantu baca ngeceknya pelan,4,Positive
"cukup membantu, tapi masih sering erorr. bus stuck lokasi lah, masalah jaringan lah, ini itu...",2,0,2.2.1,2024-09-05 09:51:29,,,cukup membantu tapi masih sering error bus stuck lokasi lah masalah jaringan lah ini itu,membantu error bus stuck lokasi jaringan,"['cukup', 'membantu', 'tapi', 'masih', 'sering', 'error', 'bus', 'stuck', 'lokasi', 'lah', 'masalah', 'jaringan', 'lah', 'ini', 'itu']","['membantu', 'error', 'bus', 'stuck', 'lokasi', 'jaringan']","['bantu', 'error', 'bus', 'stuck', 'lokasi', 'jaring']",bantu error bus stuck lokasi jaring,6,Negative
tolong jalur 2b dibanyakin dong bis nya saya nunggu setengah jam,3,0,2.2.1,2024-08-19 23:30:43,,,tolong jalur b dibanyakin dong bus nya saya menunggu setengah jam,tolong jalur b dibanyakin bus menunggu jam,"['tolong', 'jalur', 'b', 'dibanyakin', 'dong', 'bus', 'nya', 'saya', 'menunggu', 'setengah', 'jam']","['tolong', 'jalur', 'b', 'dibanyakin', 'bus', 'menunggu', 'jam']","['tolong', 'jalur', 'b', 'dibanyakin', 'bus', 'tunggu', 'jam']",tolong jalur b dibanyakin bus tunggu jam,7,Neutral
